Time (seconds),RTT (ms)
0,15.3
1,17.8
2,16.7
3,18.5
4,20.9
5,19.6
6,28.5
7,24.2
8,18.4
9,17.6
10,13
11,19.5
12,22.2
13,20.6
14,22.5
15,18
16,16.7
17,69.9
18,20.5
19,20.1
20,16.6
21,14.9
22,17.9
23,14.5
24,15.9
25,18.4
26,16.8
27,14.5
28,12.9
29,15.9
30,14.5
31,20.2
32,14.5
33,16.5
34,18.4
35,16.6
36,22.4
37,12.7
38,18.3
39,17.8
40,16.9
41,15.8
42,18.5
43,16.5
44,15.5
45,14.4
46,15.8
47,19.4
48,14
49,21.2
50,19.8
51,19.5
52,17.8
53,20.5
54,18.6
55,12.1
56,18.6
57,16.8
58,15.7
59,21.1
60,13.1
61,16.3
62,14.8
63,13.5
64,19.6
65,25.7
66,20.3
67,18.4
68,17
69,19.9
70,16.2
71,22.4
72,21
73,19.4
74,14.5
75,16.8
76,18.3
77,28.6
78,11.9
79,18.1
80,18.1
81,20
82,13.9
83,13.8
84,16.9
85,15.6
86,15.6
87,22.8
88,29.5
89,16.8
90,20.2
91,18.6
92,16.4
93,19
94,21.9
95,16.7
96,15.5
97,17.3
98,17.2
99,21.7
100,15.2
101,16.5
102,34.1
103,13.2
104,16
105,17.3
106,12.3
107,19.1
108,18
109,15.2
110,14.8
111,20.5
112,17.3
113,27
114,24.9
115,14.9
116,18.7
117,17.4
118,22.7
119,16.7
120,14
121,23.8
122,19.6
123,17.1
124,23.9
125,69.7
126,31.9
127,23.4
128,19.1
129,18
130,20.3
131,15.7
132,16.7
133,19
134,13.4
135,16.4
136,22.9
137,25.9
138,27.5
139,22.9
140,23
141,17.9
142,17.1
143,18.7
144,17.1
145,23.6
146,18.6
147,20.3
148,18.1
149,25
150,27.2
151,68.3
152,27.6
153,15.9
154,14.3
155,16.9
156,19.2
157,13.9
158,23.2
159,17.8
160,17.3
161,16.1
162,17.8
163,23.7
164,17.7
165,16.2
166,18.1
167,16.5
168,15.8
169,13.8
170,16.8
171,16.2
172,19
173,19.1
174,18.5
175,71.1
176,23.2
177,12.6
178,15.7
179,16.8
180,27.2
181,18.9
182,13.8
183,16.4
184,18.4
185,17.2
186,23.1
187,16.8
188,27.9
189,18.4
190,22.5
191,21
192,15.7
193,21.8
194,16
195,16.2
196,18.2
197,17.2
198,16
199,109
200,455
201,51.5
202,210
203,42.3
204,594
205,275
206,19
207,18.7
208,20.3
209,14.9
210,20
211,16.5
212,15.5
213,19.8
214,15
215,15.7
216,14.7
217,13.6
218,17.1
219,32.5
220,36.6
221,22.5
222,53.4
223,31.3
224,14.5
225,13.3
226,15.1
227,334
228,37.1
229,17.2
230,24.1
231,14.8
232,31.3
233,29.2
234,28.1
235,30.5
236,465
237,169
238,123
239,157
240,21
241,70.8
242,29.1
243,18.4
244,16.5
245,17.9
246,20.9
247,15.1
248,13.5
249,16.5
250,16.8
251,19.6
252,26.2
253,16.3
254,18
255,17.8
256,24.2
257,14.5
258,17
259,21.6
260,19.8
261,793
262,942
263,22.5
264,1025
265,247
266,37.8
267,209
268,75
269,226
270,52.2
271,31
272,41.7
273,287
274,29.5
275,256
276,107
277,61.5
278,124
279,187
280,152
281,98.5
282,178
283,28.6
284,258
285,254
286,32.9
287,31.5
288,41.7
289,67.8
290,288
291,811
292,26.8
293,175
294,117
295,1035
296,18.8
297,30
298,88
299,51.3
