Time (seconds),RTT (ms)
1,5.59
2,8.63
3,5.58
4,5.64
5,5.87
6,5.78
7,5.89
8,5.2
9,5.57
10,5.57
11,7.49
12,6.23
13,6.02
14,5.54
15,5.79
16,5.42
17,5.79
18,5.77
19,73.8
20,7.8
21,6.08
22,3.87
23,6.26
24,5.74
25,5.61
26,13.4
27,6.04
28,2.8
29,4.04
30,7.02
31,7.95
32,6.95
33,5.78
34,5.6
35,5.72
36,6.08
37,5.28
38,5.78
39,6.1
40,5.58
41,5.37
42,4.52
43,4.77
44,4.97
45,5.71
46,4.9
47,5.85
48,6.61
49,5.99
50,5.59
51,3.54
52,7.82
53,5.78
54,5.91
55,6.27
56,3.54
57,7.18
58,6.08
59,6.63
60,5.46
