Date,Time,Min,Avg,Max,Mdev
20240413,19:50:41,230.177,242.194,287.648,11.498
20240413,17:55:58,232.377,243.241,258.081,7.915
20240413,19:29:58,236.556,248.197,308.657,18.132
20240412,20:38:19,236.39,245.514,259.072,5.704
20240412,19:44:30,246.891,251.89,262.512,4.03
20240413,18:25:08,228.093,252.324,270.147,8.488
20240413,18:29:23,223.765,237.192,267.101,15.46
20240413,19:21:38,226.722,247.938,305.363,18.747
20240413,18:37:51,234.129,253.48,288.957,14.73
20240413,19:12:31,240.854,247.696,263.406,5.556
20240413,19:46:27,236.387,287.691,632.812,109.216
20240413,19:08:13,223.68,230.642,240.685,4.731
20240412,20:55:09,235.814,249.736,268.246,9.59
20240412,18:59:22,239.703,252.923,267.544,9.255
20240413,18:55:13,230.642,238.771,280.275,10.708
20240412,22:21:31,235.741,243.786,262.026,6.244
20240413,17:11:51,222.464,248.666,290.607,20.433
20240412,19:45:53,235.511,244.965,263.403,6.183
20240413,19:25:55,241.577,257.688,278.667,8.73
20240413,17:28:23,230.994,267.322,315.953,26.375
20240412,20:10:56,251.887,260.616,275.75,6.592
20240413,18:20:56,231.49,236.08,263.692,7.068
20240413,17:19:57,230.544,237.946,252.444,6.0
20240412,20:06:22,239.699,252.479,262.108,6.094
20240412,19:50:16,259.733,267.666,276.192,4.801
20240412,21:28:46,236.323,240.947,247.13,3.423
20240413,18:33:40,224.836,239.191,250.957,7.259
20240413,18:00:08,223.173,232.89,244.366,6.114
20240413,19:17:17,223.532,229.775,251.564,6.964
20240412,20:50:59,235.737,239.79,246.695,2.768
20240412,22:38:13,235.315,245.013,274.842,9.173
20240413,18:51:06,230.604,259.393,438.119,42.868
20240412,19:33:51,240.493,250.7,260.677,6.049
20240413,17:03:02,220.752,228.757,236.014,3.661
20240412,19:03:54,255.378,264.887,274.696,5.844
20240413,17:32:26,238.589,252.787,261.367,4.994
20240413,19:42:25,237.355,249.893,273.561,9.041
20240413,19:38:17,244.434,253.97,274.471,6.844
20240412,20:29:46,233.878,248.835,284.038,11.139
20240412,20:14:56,241.292,247.84,257.016,3.796
20240412,22:17:16,234.388,244.763,262.704,8.643
20240413,17:40:32,225.36,233.103,239.35,3.751
20240412,19:40:58,254.625,263.478,275.969,5.561
20240413,17:24:18,225.85,240.331,255.279,7.396
20240412,22:08:40,234.819,242.906,252.058,5.129
20240412,20:22:51,237.142,244.362,266.389,6.873
20240413,18:08:31,242.671,248.643,262.956,4.714
20240413,17:15:56,222.583,250.352,263.019,8.042
20240412,19:47:16,246.537,253.008,265.151,5.756
20240413,19:04:01,239.216,243.257,251.817,2.915
20240413,19:54:42,247.33,252.837,261.911,4.069
20240412,19:48:45,235.237,258.697,400.501,44.359
20240412,20:34:09,234.015,250.077,276.632,11.86
20240413,17:44:33,227.825,242.564,251.15,5.899
20240412,22:25:45,254.329,263.646,279.323,6.605
20240412,19:08:06,252.703,288.068,554.188,72.465
20240413,18:16:51,237.86,252.257,274.184,9.935
20240413,19:34:04,233.717,251.651,267.421,11.458
20240413,17:07:14,229.495,234.494,240.288,3.177
20240413,18:04:22,236.624,249.014,267.057,8.619
20240412,19:32:29,235.115,239.095,247.23,3.467
20240412,20:42:27,239.327,251.07,263.912,7.537
20240412,22:13:09,236.015,243.666,258.191,6.611
20240413,17:51:51,223.919,237.965,253.95,8.16
20240412,22:29:57,236.784,241.275,251.83,4.37
20240412,19:43:06,236.691,257.729,273.004,10.435
20240412,21:32:52,236.089,242.373,251.527,4.66
20240413,18:42:24,223.886,229.251,242.663,5.743
20240413,18:46:59,223.096,233.107,242.908,5.646
20240412,21:36:57,268.826,274.68,283.358,3.491
20240413,17:36:32,228.123,239.361,289.683,12.965
20240413,18:12:42,234.142,239.025,245.452,2.703
20240412,21:41:07,234.662,245.998,294.421,12.829
20240413,18:59:40,244.062,251.564,263.235,4.264
20240412,22:34:09,259.327,267.266,282.111,4.914
20240412,20:46:42,239.524,246.936,261.029,6.395
